character,count,probability
0,348333,0.011280811
1,518524,0.016792469
2,365192,0.011826792
3,265777,0.008607224
4,255832,0.008285154
5,240600,0.007791863
6,235242,0.007618344
7,266754,0.008638864
8,227744,0.00737552
9,275910,0.008935382
_,581991,0.018847857
a,3181756,0.103041596
b,643016,0.02082416
c,940342,0.030453102
d,912119,0.029539096
e,2605136,0.084367679
f,374532,0.012129269
g,624393,0.020221051
h,836333,0.027084757
i,2057042,0.066617582
j,359296,0.011635849
k,552201,0.017883104
l,1536903,0.04977281
m,1087719,0.035225926
n,1860812,0.060262647
o,1789057,0.057938851
p,548434,0.017761109
q,63663,0.002061735
r,1928594,0.062457776
s,1522926,0.049320163
t,1323360,0.042857191
u,837002,0.027106422
v,346422,0.011218923
w,307424,0.009955968
x,160564,0.005199887
y,635197,0.02057094
z,262223,0.008492127
